"","V1","V2","blastp"
"10203","Aech_RNA17814_R1","gene_4216","PREDICTED: RNA-directed DNA polymerase from mobile element jockey-like [Vollenhovia emeryi]"
"10204","Mpha_ver3_rna-XM_036283642.1_R2","gene_4217","General transcription factor II-I repeat domain-containing protein 2A, partial [Cyphomyrmex costatus]"
"10206","Mpha_ver3_rna-XM_036285855.1_R6","gene_4406","PREDICTED: uncharacterized protein LOC108751189 [Trachymyrmex septentrionalis]"
"10207","Mpha_ver3_rna-XM_036290471.1_R9","gene_4404","PREDICTED: uncharacterized protein LOC108756035 [Trachymyrmex septentrionalis]"
"10209","Mpha_ver3_rna-XM_036283631.1_R1","gene_4218","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC108750387 [Trachymyrmex septentrionalis]"
"10210","Mpha_ver3_rna-XM_036290132.1_R0","gene_4403","PREDICTED: uncharacterized protein LOC108748176 [Trachymyrmex septentrionalis]"
"10220","Sinv_RNA-XM_026140495.1_R7","gene_4407","uncharacterized protein LOC112639733 [Camponotus floridanus]"
"10221","Aech_RNA13467_R0","gene_4408","PREDICTED: segment polarity protein dishevelled homolog DVL-3 [Acromyrmex echinatior]"
"10222","Mpha_ver3_rna-XM_012681387.3_R0","gene_4408","PREDICTED: segment polarity protein dishevelled homolog DVL-3 isoform X2 [Trachymyrmex septentrionalis]"
"10223","Mpha_ver3_rna-XM_028191012.2_R0","gene_4408","PREDICTED: segment polarity protein dishevelled homolog DVL-3 isoform X1 [Trachymyrmex cornetzi]"
"10224","Mpha_ver3_rna-XM_012681388.3_R0","gene_4408","PREDICTED: segment polarity protein dishevelled homolog DVL-3 isoform X4 [Trachymyrmex septentrionalis]"
"10225","Aech_RNA13461_R0","gene_4219","PREDICTED: endothelin-converting enzyme 1-like isoform X1 [Acromyrmex echinatior]"
"10228","Aech_RNA13465_R0","gene_4219","PREDICTED: endothelin-converting enzyme 1-like isoform X2 [Acromyrmex echinatior]"
"10231","Aech_RNA13464_R0","gene_4219","PREDICTED: endothelin-converting enzyme 1-like isoform X2 [Acromyrmex echinatior]"
"10232","Aech_RNA13462_R0","gene_4219","PREDICTED: endothelin-converting enzyme 1-like isoform X3 [Acromyrmex echinatior]"
"10233","Aech_RNA13463_R0","gene_4219","PREDICTED: endothelin-converting enzyme 1-like isoform X5 [Acromyrmex echinatior]"
"10234","Mpha_ver3_rna-XM_036286307.1_R0","gene_4219","PREDICTED: endothelin-converting enzyme 1-like isoform X2 [Acromyrmex echinatior]"
"10235","Sinv_RNA-XM_011164260.2_R0","gene_4220","PREDICTED: mitochondrial tRNA-specific 2-thiouridylase 1 [Acromyrmex echinatior]"
"10237","Aech_RNA13460_R0","gene_4220","PREDICTED: mitochondrial tRNA-specific 2-thiouridylase 1 [Acromyrmex echinatior]"
"10238","Aech_RNA13457_R0","gene_4409","PREDICTED: paired amphipathic helix protein Sin3b isoform X1 [Acromyrmex echinatior]"
"10240","Aech_RNA13458_R0","gene_4409","PREDICTED: paired amphipathic helix protein Sin3b isoform X2 [Acromyrmex echinatior]"
"10241","Sinv_RNA-XM_011177484.2_R0","gene_4409","PREDICTED: paired amphipathic helix protein Sin3b isoform X1 [Acromyrmex echinatior]"
"10242","Sinv_RNA-XM_026136984.1_R3","gene_4410",NA
"10243","Sinv_RNA-XM_026136285.1_R0","gene_4221","PREDICTED: uncharacterized protein LOC105148744 [Acromyrmex echinatior]"
"10245","Aech_RNA13456_R0","gene_4221","PREDICTED: uncharacterized protein LOC105148744 [Acromyrmex echinatior]"
"10246","Sinv_RNA-XM_011165596.2_R0","gene_4222","Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 [Acromyrmex echinatior]"
"10248","Mpha_ver3_rna-XM_036285418.1_R0","gene_4222","Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 [Acromyrmex echinatior]"
"10249","Aech_RNA13455_R0","gene_4222","PREDICTED: arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2-like [Acromyrmex echinatior]"
"10250","Mpha_ver3_rna-XM_036285419.1_R0","gene_4222","Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 [Acromyrmex echinatior]"
"10251","Aech_RNA13454_R0","gene_4222","Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 [Acromyrmex echinatior]"
"10252","Aech_RNA13453_R0","gene_4411","PREDICTED: thioredoxin domain-containing protein 12-like [Acromyrmex echinatior]"
"10255","Aech_RNA13452_R0","gene_4412","PREDICTED: spore coat protein SP96-like [Acromyrmex echinatior]"
"10256","Aech_RNA13451_R0","gene_4413","PREDICTED: mastermind-like domain-containing protein 1 [Cyphomyrmex costatus]"
"10259","Aech_RNA13450_R0","gene_4223","PREDICTED: 39S ribosomal protein L33, mitochondrial [Acromyrmex echinatior]"
"10262","Aech_RNA13449_R0","gene_4224","PREDICTED: DNA replication factor Cdt1 [Acromyrmex echinatior]"
"10265","Aech_RNA13446_R0","gene_4414","PREDICTED: mpv17-like protein 2 isoform X1 [Acromyrmex echinatior]"
"10267","Aech_RNA13445_R0","gene_4414","PREDICTED: mpv17-like protein 2 isoform X2 [Acromyrmex echinatior]"
"10268","Aech_RNA13443_R0","gene_4225","PREDICTED: CAS1 domain-containing protein 1 [Acromyrmex echinatior]"
"10271","Mpha_ver3_rna-XM_036295266.1_R0","gene_4225","PREDICTED: CAS1 domain-containing protein 1 [Acromyrmex echinatior]"
"10272","Aech_RNA13442_R0","gene_4415","PREDICTED: TOM1-like protein 2 isoform X1 [Acromyrmex echinatior]"
"10275","Aech_RNA13441_R0","gene_4415","PREDICTED: TOM1-like protein 2 isoform X2 [Acromyrmex echinatior]"
"10278","Aech_RNA13440_R0","gene_4415","PREDICTED: TOM1-like protein 2 isoform X3 [Acromyrmex echinatior]"
"10280","Aech_RNA13439_R0","gene_4415","PREDICTED: TOM1-like protein 2 isoform X4 [Acromyrmex echinatior]"
"10282","Aech_RNA13438_R0","gene_4416","PREDICTED: protein FAM195A [Acromyrmex echinatior]"
"10285","Mpha_ver3_rna-XM_012685220.3_R0","gene_4416","PREDICTED: protein FAM195A-like isoform X2 [Cyphomyrmex costatus]"
"10286","Sinv_RNA-XM_011165606.2_R0","gene_4416","hypothetical protein ALC53_10048 [Atta colombica]"
"10287","Aech_RNA13436_R0","gene_4417","Folliculin [Trachymyrmex septentrionalis]"
"10289","Mpha_ver3_rna-XM_036286275.1_R0","gene_4417","folliculin [Monomorium pharaonis]"
"10290","Sinv_RNA-XM_026136264.1_R0","gene_4417","PREDICTED: folliculin [Trachymyrmex septentrionalis]"
"10291","Aech_RNA13437_R0","gene_4417","PREDICTED: probable dihydroxyacetone kinase [Acromyrmex echinatior]"
"10292","Aech_RNA13435_R0","gene_4418","PREDICTED: diphosphomevalonate decarboxylase [Acromyrmex echinatior]"
"10295","Sinv_RNA-XM_011165615.2_R0","gene_4418","PREDICTED: diphosphomevalonate decarboxylase [Acromyrmex echinatior]"
"10296","Aech_RNA13434_R0","gene_4419","PREDICTED: acyl-coenzyme A thioesterase 13-like isoform X1 [Acromyrmex echinatior]"
"10299","Mpha_ver3_rna-XM_036286287.1_R0","gene_4419","PREDICTED: acyl-coenzyme A thioesterase 13-like isoform X1 [Acromyrmex echinatior]"
"10300","Mpha_ver3_rna-XM_036286288.1_R0","gene_4419","PREDICTED: acyl-coenzyme A thioesterase 13-like isoform X1 [Acromyrmex echinatior]"
"10301","Mpha_ver3_rna-XM_036286285.1_R0","gene_4419","PREDICTED: acyl-coenzyme A thioesterase 13-like isoform X1 [Acromyrmex echinatior]"
"10302","Aech_RNA13432_R0","gene_4226","PREDICTED: peroxidasin [Acromyrmex echinatior]"
"10305","Aech_RNA13428_R0","gene_4227","PREDICTED: uncharacterized protein LOC105148731 [Acromyrmex echinatior]"
"10308","Aech_RNA13427_R0","gene_4420","PREDICTED: DNA-directed RNA polymerase III subunit RPC8 [Acromyrmex echinatior]"
"10310","Mpha_ver3_rna-XM_036285889.1_R0","gene_4420","PREDICTED: DNA-directed RNA polymerase III subunit RPC8 [Acromyrmex echinatior]"
"10311","Aech_RNA13426_R0","gene_4228","PREDICTED: F-box/LRR-repeat protein 16 [Acromyrmex echinatior]"
"10313","Aech_RNA13425_R0","gene_4229","hypothetical protein DBV15_09540, partial [Temnothorax longispinosus]"
"10315","Aech_RNA13422_R0","gene_4230","PREDICTED: alpha-2B adrenergic receptor [Trachymyrmex cornetzi]"
"10316","Mpha_ver3_rna-XM_036286090.1_R0","gene_4231","hypothetical protein G5I_08860 [Acromyrmex echinatior]"
"10317","Mpha_ver3_rna-XM_012680034.3_R0","gene_4421","PREDICTED: sodium-coupled monocarboxylate transporter 1 [Trachymyrmex cornetzi]"
"10319","Mpha_ver3_rna-XM_036285250.1_R0","gene_4422","PREDICTED: putative aminopeptidase W07G4.4 isoform X1 [Trachymyrmex zeteki]"
"10320","Mpha_ver3_rna-XM_012686579.2_R0","gene_4232","PREDICTED: uncharacterized protein LOC105153519 [Acromyrmex echinatior]"
"10322","Aech_RNA21044_R0","gene_4232","PREDICTED: uncharacterized protein LOC105153519 [Acromyrmex echinatior]"
"10323","Aech_RNA21045_R0","gene_4233","PREDICTED: uncharacterized protein LOC105153520 [Acromyrmex echinatior]"
"10326","Aech_RNA21046_R0","gene_4234","PREDICTED: uncharacterized protein LOC105153521 [Acromyrmex echinatior]"
"10329","Aech_RNA21047_R0","gene_4235","PREDICTED: uncharacterized protein LOC105153522 [Acromyrmex echinatior]"
"10332","Aech_RNA21048_R0","gene_4236","PREDICTED: uncharacterized protein LOC105153636 [Acromyrmex echinatior]"
"10333","Mpha_ver3_rna-XM_012667525.3_R0","gene_4237","PREDICTED: uncharacterized protein LOC105153524 [Acromyrmex echinatior]"
"10336","Aech_RNA21049_R0","gene_4237","PREDICTED: uncharacterized protein LOC105153524 [Acromyrmex echinatior]"
"10337","Aech_RNA21050_R0","gene_4238","PREDICTED: uncharacterized protein LOC105153525 [Acromyrmex echinatior]"
"10341","Aech_RNA21051_R0","gene_4239","PREDICTED: uncharacterized protein LOC105153526 [Acromyrmex echinatior]"
"10345","Sinv_RNA-XM_011165666.1_R0","gene_4240","hypothetical protein G5I_14170 [Acromyrmex echinatior]"
"10348","Mpha_ver3_rna-XM_012667526.3_R0","gene_4423","PREDICTED: uncharacterized protein LOC105153527 [Acromyrmex echinatior]"
"10351","Aech_RNA21052_R0","gene_4423","PREDICTED: uncharacterized protein LOC105153527 [Acromyrmex echinatior]"
"10352","Sinv_RNA-XM_011165628.2_R0","gene_4241","PREDICTED: uncharacterized protein LOC108691253 [Atta colombica]"
"10353","Mpha_ver3_rna-XM_036286273.1_R0","gene_4241","hypothetical protein ALC53_11485 [Atta colombica]"
"10354","Aech_RNA21058_R0","gene_4241","PREDICTED: uncharacterized protein LOC105153531 [Acromyrmex echinatior]"
"10355","Aech_RNA21059_R0","gene_4242","PREDICTED: uncharacterized protein LOC105153533 [Acromyrmex echinatior]"
"10358","Aech_RNA21060_R0","gene_4243","PREDICTED: uncharacterized protein LOC105153532 [Acromyrmex echinatior]"
"10361","Aech_RNA21061_R0","gene_4244","PREDICTED: uncharacterized protein LOC105153534 [Acromyrmex echinatior]"
"10364","Aech_RNA21062_R0","gene_4245","PREDICTED: uncharacterized protein LOC105153535 [Acromyrmex echinatior]"
"10367","Aech_RNA21063_R0","gene_4246","PREDICTED: uncharacterized protein LOC105153536 [Acromyrmex echinatior]"
"10370","Aech_RNA21064_R0","gene_4247","PREDICTED: uncharacterized protein LOC105153537 [Acromyrmex echinatior]"
"10373","Aech_RNA21065_R0","gene_4248","PREDICTED: uncharacterized protein LOC105153538 [Acromyrmex echinatior]"
"10376","Aech_RNA21066_R0","gene_4249","PREDICTED: uncharacterized protein LOC105153539 [Acromyrmex echinatior]"
"10379","Sinv_RNA-XM_011165637.2_R0","gene_4249","PREDICTED: uncharacterized protein LOC108691313 [Atta colombica]"
"10381","Aech_RNA21067_R0","gene_4250","PREDICTED: uncharacterized protein LOC105153540 [Acromyrmex echinatior]"
"10384","Aech_RNA21068_R0","gene_4424","PREDICTED: sideroflexin-1 [Acromyrmex echinatior]"
"10387","Aech_RNA21069_R0","gene_4251","PREDICTED: 39S ribosomal protein L2, mitochondrial [Acromyrmex echinatior]"
"10390","Sinv_RNA-XM_011165641.2_R0","gene_4425","PREDICTED: homeobox protein invected-like [Atta colombica]"
"10393","Sinv_RNA-XM_011165642.2_R0","gene_4426","Homeobox protein HMX3 [Trachymyrmex septentrionalis]"
"10395","Aech_RNA21071_R0","gene_4426","Homeobox protein HMX3 [Trachymyrmex septentrionalis]"
"10396","Aech_RNA21072_R0","gene_4252","PREDICTED: peroxiredoxin-like [Acromyrmex echinatior]"
"10399","Aech_RNA21073_R0","gene_4253","Negative elongation factor A [Acromyrmex echinatior]"
"10401","Mpha_ver3_rna-XM_012684030.3_R0","gene_4427","Tumor protein 63 [Acromyrmex echinatior]"
"10403","Aech_RNA21075_R0","gene_4427","PREDICTED: tumor protein 63 isoform X1 [Acromyrmex echinatior]"
"10404","Aech_RNA21074_R0","gene_4427","Tumor protein 63 [Acromyrmex echinatior]"
"10405","Aech_RNA21077_R0","gene_4254","PREDICTED: uncharacterized protein LOC105153547 [Acromyrmex echinatior]"
"10408","Aech_RNA21079_R0","gene_4255","PREDICTED: oxysterol-binding protein-related protein 11 isoform X2 [Acromyrmex echinatior]"
"10411","Aech_RNA21078_R0","gene_4255","PREDICTED: oxysterol-binding protein-related protein 11 isoform X1 [Acromyrmex echinatior]"
"10413","Mpha_ver3_rna-XM_012684021.3_R0","gene_4256","PREDICTED: uncharacterized protein LOC108748097 isoform X1 [Trachymyrmex septentrionalis]"
"10415","Mpha_ver3_rna-XM_012684025.2_R0","gene_4256","PREDICTED: uncharacterized protein LOC108748097 isoform X1 [Trachymyrmex septentrionalis]"
"10416","Aech_RNA21081_R0","gene_4256","PREDICTED: uncharacterized protein LOC105153549 [Acromyrmex echinatior]"
"10417","Aech_RNA21082_R0","gene_4428","PREDICTED: CREB3 regulatory factor [Acromyrmex echinatior]"
"10420","Aech_RNA21083_R0","gene_4429","PREDICTED: zinc finger CCCH domain-containing protein 13-like [Acromyrmex echinatior]"
"10423","Sinv_RNA-XM_011169430.2_R0","gene_4257","PREDICTED: LOW QUALITY PROTEIN: protein msta, isoform B-like [Acromyrmex echinatior]"
"10425","Aech_RNA21087_R0","gene_4258","PREDICTED: ATP synthase mitochondrial F1 complex assembly factor 2 [Acromyrmex echinatior]"
"10428","Sinv_RNA-XM_011169429.2_R0","gene_4258","PREDICTED: ATP synthase mitochondrial F1 complex assembly factor 2 [Acromyrmex echinatior]"
"10429","Mpha_ver3_rna-XM_028189481.2_R0","gene_4258","PREDICTED: ATP synthase mitochondrial F1 complex assembly factor 2 [Acromyrmex echinatior]"
"10430","Aech_RNA21088_R0","gene_4259","PREDICTED: rho GTPase-activating protein 20-like isoform X1 [Acromyrmex echinatior]"
"10433","Mpha_ver3_rna-XM_036286304.1_R0","gene_4259","PREDICTED: uncharacterized protein LOC108748030 isoform X1 [Trachymyrmex septentrionalis]"
"10435","Mpha_ver3_rna-XM_036286305.1_R0","gene_4259","PREDICTED: uncharacterized protein LOC108748030 isoform X1 [Trachymyrmex septentrionalis]"
"10437","Aech_RNA21089_R0","gene_4259","PREDICTED: rho GTPase-activating protein 20-like isoform X2 [Acromyrmex echinatior]"
"10439","Mpha_ver3_rna-XM_012666509.3_R0","gene_4259","PREDICTED: rho GTPase-activating protein 20-like isoform X2 [Acromyrmex echinatior]"
"10440","Aech_RNA21090_R0","gene_4259","PREDICTED: uncharacterized protein LOC105153556 [Acromyrmex echinatior]"
"10441","Aech_RNA21091_R0","gene_4430","PREDICTED: uncharacterized protein LOC105153558 [Acromyrmex echinatior]"
"10444","Mpha_ver3_rna-XM_036286021.1_R0","gene_4430","PREDICTED: uncharacterized protein LOC105153558 [Acromyrmex echinatior]"
"10445","Mpha_ver3_rna-XM_012687720.3_R0","gene_4261","PREDICTED: ubiquinone biosynthesis protein COQ9, mitochondrial [Acromyrmex echinatior]"
"10447","Aech_RNA21092_R0","gene_4261","PREDICTED: ubiquinone biosynthesis protein COQ9, mitochondrial [Acromyrmex echinatior]"
"10448","Aech_RNA21094_R0","gene_4260","PREDICTED: glomulin [Acromyrmex echinatior]"
"10451","Aech_RNA21095_R0","gene_4431","PREDICTED: G patch domain-containing protein 1 homolog [Acromyrmex echinatior]"
"10454","Aech_RNA21097_R0","gene_4262","PREDICTED: protein MLP2 isoform X1 [Acromyrmex echinatior]"
"10457","Aech_RNA21096_R0","gene_4262","PREDICTED: myosin heavy chain, non-muscle isoform X2 [Acromyrmex echinatior]"
"10460","Aech_RNA21098_R0","gene_4263","PREDICTED: non-specific lipid-transfer protein [Acromyrmex echinatior]"
"10463","Aech_RNA21099_R0","gene_4432","PREDICTED: uncharacterized protein LOC105153564 [Acromyrmex echinatior]"
"10466","Aech_RNA21100_R0","gene_4264","PREDICTED: adenylate cyclase type 2-like isoform X2 [Atta colombica]"
"10469","Aech_RNA21101_R0","gene_4264","PREDICTED: adenylate cyclase type 2 isoform X1 [Acromyrmex echinatior]"
"10471","Aech_RNA21102_R0","gene_4265","PREDICTED: importin-4-like isoform X1 [Acromyrmex echinatior]"
"10474","Aech_RNA21103_R0","gene_4265","PREDICTED: importin-4-like isoform X1 [Acromyrmex echinatior]"
"10475","Aech_RNA21104_R0","gene_4266","PREDICTED: forkhead box protein biniou-like [Acromyrmex echinatior]"
"10478","Aech_RNA21106_R0","gene_4267","PREDICTED: serine/threonine-protein kinase CBK1-like [Acromyrmex echinatior]"
"10479","Aech_RNA21108_R0","gene_4268","PREDICTED: fork head domain-containing protein crocodile [Acromyrmex echinatior]"
"10482","Aech_RNA21109_R0","gene_4433","PREDICTED: KAT8 regulatory NSL complex subunit 1 [Acromyrmex echinatior]"
"10485","Mpha_ver3_rna-XM_036286146.1_R0","gene_4433","PREDICTED: KAT8 regulatory NSL complex subunit 1 [Acromyrmex echinatior]"
"10486","Aech_RNA21111_R0","gene_4269","PREDICTED: DNA polymerase delta small subunit-like [Acromyrmex echinatior]"
"10492","Aech_RNA21112_R0","gene_4434","PREDICTED: transcription elongation factor B polypeptide 2-like [Acromyrmex echinatior]"
"10494","Mpha_ver3_rna-XM_028188793.2_R0","gene_4434","PREDICTED: transcription elongation factor B polypeptide 2-like [Acromyrmex echinatior]"
"10495","Aech_RNA21115_R0","gene_4435","Transcription elongation regulator 1 [Acromyrmex echinatior]"
"10498","Aech_RNA21116_R0","gene_4435","PREDICTED: transcription elongation regulator 1 isoform X2 [Acromyrmex echinatior]"
"10501","Sinv_RNA-XM_026137840.1_R0","gene_4436","PREDICTED: LOW QUALITY PROTEIN: nuclear pore complex protein DDB_G0274915 homolog [Acromyrmex echinatior]"
"10502","Mpha_ver3_rna-XM_028188791.2_R0","gene_4436","PREDICTED: LOW QUALITY PROTEIN: nuclear pore complex protein DDB_G0274915 homolog [Acromyrmex echinatior]"
"10503","Aech_RNA21119_R0","gene_4270","PREDICTED: protein SERAC1 isoform X1 [Acromyrmex echinatior]"
"10505","Aech_RNA21118_R0","gene_4270","PREDICTED: protein SERAC1 isoform X2 [Acromyrmex echinatior]"
"10506","Aech_RNA21120_R0","gene_4270","PREDICTED: protein SERAC1 isoform X1 [Acromyrmex echinatior]"
"10507","Sinv_RNA-XM_026137842.1_R0","gene_4270","PREDICTED: protein SERAC1 isoform X1 [Acromyrmex echinatior]"
"10508","Sinv_RNA-XM_011169401.2_R0","gene_4437","PREDICTED: ras-related protein Rab-6.2 [Trachymyrmex septentrionalis]"
"10510","Aech_RNA21122_R0","gene_4271","PREDICTED: cysteine desulfurase, mitochondrial [Acromyrmex echinatior]"
"10513","Aech_RNA21123_R0","gene_4272","PREDICTED: partner of Y14 and mago [Acromyrmex echinatior]"
"10516","Aech_RNA21124_R0","gene_4438","PREDICTED: uncharacterized protein LOC105153582 isoform X1 [Acromyrmex echinatior]"
"10519","Aech_RNA21125_R0","gene_4438","PREDICTED: uncharacterized protein LOC105153582 isoform X2 [Acromyrmex echinatior]"
"10520","Sinv_RNA-XM_026135087.1_R8","gene_4273",NA
"10521","Sinv_RNA-XM_011165270.2_R3","gene_4439",NA
"10522","Aech_RNA21132_R0","gene_4440","PREDICTED: broad-complex core protein isoforms 1/2/3/4/5 isoform X1 [Acromyrmex echinatior]"
"10526","Aech_RNA21133_R0","gene_4440","PREDICTED: broad-complex core protein isoforms 1/2/3/4/5 isoform X2 [Acromyrmex echinatior]"
"10529","Aech_RNA21130_R0","gene_4440","broad-complex core protein isoforms 1/2/3/4/5 isoform X3 [Nylanderia fulva]"
"10532","Aech_RNA21131_R0","gene_4440","broad-complex core protein isoforms 1/2/3/4/5 isoform X4 [Nylanderia fulva]"
"10535","Aech_RNA21127_R0","gene_4440","PREDICTED: broad-complex core protein isoforms 1/2/3/4/5 isoform X5 [Acromyrmex echinatior]"
"10538","Aech_RNA21129_R0","gene_4440","PREDICTED: broad-complex core protein isoform 6 isoform X7 [Acromyrmex echinatior]"
"10541","Aech_RNA15331_R2","gene_4440","Protein bric-a-brac 1 [Atta colombica]"
"10544","Aech_RNA21128_R0","gene_4440","PREDICTED: broad-complex core protein isoforms 1/2/3/4/5 isoform X6 [Acromyrmex echinatior]"
"10546","Sinv_RNA-XM_026138268.1_R0","gene_4440","PREDICTED: broad-complex core protein isoform X8 [Trachymyrmex septentrionalis]"
"10548","Mpha_ver3_rna-XM_036286460.1_R0","gene_4440","PREDICTED: broad-complex core protein isoforms 1/2/3/4/5 isoform X3 [Trachymyrmex septentrionalis]"
"10549","Mpha_ver3_rna-XM_036286462.1_R0","gene_4440","PREDICTED: broad-complex core protein isoforms 1/2/3/4/5 isoform X4 [Trachymyrmex septentrionalis]"
"10550","Aech_RNA15334_R2","gene_4440","Protein bric-a-brac 1 [Atta colombica]"
"10551","Aech_RNA21141_R0","gene_4441","PREDICTED: neo-calmodulin-like [Acromyrmex echinatior]"
"10554","Mpha_ver3_rna-XM_012673296.3_R0","gene_4441","PREDICTED: calmodulin-beta-like [Atta cephalotes]"
"10556","Mpha_ver3_rna-XM_012673298.3_R0","gene_4441","PREDICTED: neo-calmodulin-like isoform X1 [Atta colombica]"
"10558","Mpha_ver3_rna-XM_028193757.2_R0","gene_4441","neo-calmodulin isoform X3 [Monomorium pharaonis]"
"10560","Mpha_ver3_rna-XM_012673300.3_R0","gene_4441","neo-calmodulin isoform X5 [Monomorium pharaonis]"
"10562","Mpha_ver3_rna-XM_036286470.1_R0","gene_4441","calmodulin-A isoform X2 [Bombus impatiens]"
"10563","Aech_RNA21143_R0","gene_4274","PREDICTED: endoplasmic reticulum resident protein 44 isoform X1 [Acromyrmex echinatior]"
"10566","Aech_RNA21144_R0","gene_4274","PREDICTED: endoplasmic reticulum resident protein 44 isoform X2 [Acromyrmex echinatior]"
"10569","Aech_RNA21145_R0","gene_4442","PREDICTED: Golgi apparatus protein 1 [Acromyrmex echinatior]"
"10572","Aech_RNA21147_R0","gene_4443","PREDICTED: probable G-protein coupled receptor 158 isoform X1 [Acromyrmex echinatior]"
"10575","Aech_RNA21146_R0","gene_4443","PREDICTED: probable G-protein coupled receptor 158 isoform X1 [Acromyrmex echinatior]"
"10576","Mpha_ver3_rna-XM_028193992.2_R0","gene_4275","hypothetical protein X777_16787 [Ooceraea biroi]"
"10577","Mpha_ver3_rna-XM_036288260.1_R0","gene_4276","hypothetical protein ALC57_15002 [Trachymyrmex cornetzi]"
"10578","Sinv_RNA-XM_026141209.1_R5","gene_4277",NA
"10579","Aech_RNA21153_R0","gene_4278","PREDICTED: hyccin [Acromyrmex echinatior]"
"10582","Sinv_RNA-XM_026139410.1_R0","gene_4279","Hyccin [Acromyrmex echinatior]"
"10583","Aech_RNA21154_R0","gene_4444","PREDICTED: PX domain-containing protein kinase-like protein isoform X1 [Acromyrmex echinatior]"
"10586","Aech_RNA21155_R0","gene_4444","PREDICTED: PX domain-containing protein kinase-like protein isoform X2 [Acromyrmex echinatior]"
"10589","Mpha_ver3_rna-XM_028190549.2_R0","gene_4444","PREDICTED: PX domain-containing protein kinase-like protein isoform X1 [Acromyrmex echinatior]"
"10590","Aech_RNA21157_R0","gene_4280","PREDICTED: tafazzin homolog isoform X2 [Acromyrmex echinatior]"
"10593","Aech_RNA21156_R0","gene_4280","PREDICTED: tafazzin homolog isoform X1 [Acromyrmex echinatior]"
"10594","Sinv_RNA-XM_011165648.2_R0","gene_4280","PREDICTED: tafazzin homolog isoform X2 [Acromyrmex echinatior]"
"10595","Aech_RNA21161_R0","gene_4445","PREDICTED: protein espinas-like isoform X1 [Acromyrmex echinatior]"
"10598","Sinv_RNA-XM_026136287.1_R0","gene_4445","prickle planar cell polarity protein 3 isoform X2 [Solenopsis invicta]"
"10600","Aech_RNA21160_R0","gene_4445","PREDICTED: protein prickle-like isoform X2 [Acromyrmex echinatior]"
"10601","Aech_RNA21162_R0","gene_4445","PREDICTED: protein prickle-like isoform X3 [Acromyrmex echinatior]"
"10602","Sinv_RNA-XM_026136288.1_R0","gene_4445","PREDICTED: protein espinas-like isoform X1 [Acromyrmex echinatior]"
"10603","Sinv_RNA-XM_026136541.1_R4","gene_4446",NA
"10604","Mpha_ver3_rna-XM_012671228.3_R0","gene_4447","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC105153602 [Acromyrmex echinatior]"
"10606","Mpha_ver3_rna-XM_012671229.3_R0","gene_4447","PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC105153602 [Acromyrmex echinatior]"
"10608","Aech_RNA21164_R0","gene_4281","PREDICTED: basigin [Acromyrmex echinatior]"
"10611","Mpha_ver3_rna-XM_036285195.1_R0","gene_4281","PREDICTED: basigin [Acromyrmex echinatior]"
"10612","Aech_RNA21166_R0","gene_4448","PREDICTED: uncharacterized protein CG1161 [Trachymyrmex cornetzi]"
"10615","Aech_RNA21167_R0","gene_4282","PREDICTED: ADP,ATP carrier protein-like [Acromyrmex echinatior]"
"10621","Aech_RNA21168_R0","gene_4283","PREDICTED: flotillin-1 isoform X1 [Acromyrmex echinatior]"
"10624","Aech_RNA21169_R0","gene_4283","PREDICTED: flotillin-1 isoform X2 [Acromyrmex echinatior]"
"10627","Aech_RNA21170_R0","gene_4284","PREDICTED: uncharacterized protein C9orf78 homolog isoform X1 [Acromyrmex echinatior]"
"10630","Aech_RNA21171_R0","gene_4284","PREDICTED: uncharacterized protein C9orf78 homolog isoform X1 [Acromyrmex echinatior]"
"10631","Aech_RNA21172_R0","gene_4449","PREDICTED: myelin and lymphocyte protein-like isoform X1 [Acromyrmex echinatior]"
"10634","Aech_RNA21174_R0","gene_4450","PREDICTED: WD repeat-containing protein 63-like [Acromyrmex echinatior]"
"10636","Aech_RNA21173_R0","gene_4451","PREDICTED: uncharacterized protein LOC105153608 isoform X2 [Acromyrmex echinatior]"
"10639","Mpha_ver3_rna-XM_012677544.3_R2","gene_4452","hypothetical protein G5I_14263, partial [Acromyrmex echinatior]"
"10640","Sinv_RNA-XM_011160402.2_R2","gene_4452","hypothetical protein G5I_14263, partial [Acromyrmex echinatior]"
"10641","Aech_RNA6806_R1","gene_4453","PREDICTED: uncharacterized protein LOC105153611 [Acromyrmex echinatior]"
"10642","Mpha_ver3_rna-XM_012677544.3_R1","gene_4453","hypothetical protein G5I_14263, partial [Acromyrmex echinatior]"
"10643","Sinv_RNA-XM_011160402.2_R1","gene_4453","hypothetical protein G5I_14263, partial [Acromyrmex echinatior]"
"10644","Mpha_ver3_rna-XM_012687850.3_R0","gene_4454","PREDICTED: uncharacterized protein LOC108762236 [Trachymyrmex cornetzi]"
